,ID,reboundEnergy,absorbedEnergy,impactEnergy,maxForce,Damage Width,Damage Height,Area of Damage,Has Preexisting Damage,Impactor to Center (mm)
0,AS1,3.600711093711759,46.399288905762745,49.9999999994745,5063.943376200001,27.15,27.0,245.04375,False,
1,AS2,2.812790962891711,47.1872090306802,49.99999999357191,4769.8910556,27.65,31.3,244.6375,False,10.0
2,AS3,3.192322205007848,46.807677774257805,49.99999997926565,4951.4118152,26.75,28.4,232.59125,False,15.0
3,AS4,2.970998965831683,47.029001000192125,49.99999996602381,4736.527427,29.65,29.35,266.97875,True,20.0
4,AS5,3.0740633040260903,46.925936646841606,49.999999950867696,4667.5382285000005,28.15,28.25,263.7825,True,25.0
5,MA1,3.085212748580844,46.91478724923743,49.99999999781827,4901.649114600001,28.15,29.7,274.4925,False,
6,MA2,3.3666762910914443,46.63332369341631,49.99999998450775,4705.991224300001,31.15,28.55,417.62125,True,10.0
7,MA3,3.5007202779920377,46.4992797103752,49.99999998836724,4748.4026168,24.25,27.85,203.12875,True,15.0
8,MA4,3.350219053590031,46.64978094600441,49.99999999959444,4860.651435400001,27.8,25.4,181.6175,True,20.0
9,MA5,3.4039486176518494,46.5960513748684,49.99999999252025,4886.6637562000005,18.4,21.55,112.56625,True,35.0
10,TB1,0.7317549411090916,29.268245041477943,29.999999982587035,4207.798734800001,20.2,19.4,149.40625,False,
11,TB2,0.7543006557264214,29.245699333892095,29.99999998961852,4126.6516041,20.1,19.8,149.07,False,10.0
12,TB3,0.6568729997667049,29.34312696568145,29.999999965448158,4490.5413508,16.8,18.2,123.525,True,15.0
13,TB4,0.7740316924349244,29.22596827589085,29.99999996832577,4236.9212244,39.0,26.7,240.98,True,25.0
14,TB5,1.0498360743557311,28.95016391933501,29.999999993690743,4253.320296100001,18.35,19.9,147.69625,False,20.0
15,ZA1,,,,,14.45,15.5,105.81125,False,
16,ZA2,4.056924880091579,45.94307511931636,49.99999999940794,4867.1545156,23.7,29.35,253.14625,False,10.0
17,ZA3,3.329409435616789,46.670590538595285,49.99999997421207,4735.9619416,41.7,28.55,297.9075,True,15.0
18,ZA4,3.5779482754381675,46.422051724205474,49.99999999964364,4885.5327857,26.65,28.35,253.91375,True,20.0
19,ZA5,3.6277277801515098,46.37227220134531,49.99999998149682,4915.503502900001,30.6,29.55,280.5425,False,25.0
