ID,Damage Width,Damage Height,Area of Damage,Has Preexisting Damage,Impactor to Center (mm)
AS1,27.15,27.0,245.04375000000002,False,
AS2,27.65,31.3,244.63750000000002,False,10.0
AS3,26.75,28.4,232.59125,False,15.0
AS4,29.65,29.35,266.97875,True,20.0
AS5,28.15,28.25,263.7825,True,25.0
MA1,28.15,29.7,274.4925,False,
MA2,31.15,28.55,417.62125000000003,True,10.0
MA3,24.25,27.85,203.12875,True,15.0
MA4,27.8,25.4,181.6175,True,20.0
MA5,18.4,21.55,112.56625,True,35.0
TB1,20.2,19.4,149.40625,False,
TB2,20.1,19.8,149.07,False,10.0
TB3,16.8,18.2,123.525,True,15.0
TB4,39.0,26.7,240.98000000000002,True,25.0
TB5,18.35,19.9,147.69625,False,20.0
ZA1,14.45,15.5,105.81125,False,
ZA2,23.7,29.35,253.14625,False,10.0
ZA3,41.7,28.55,297.9075,True,15.0
ZA4,26.65,28.35,253.91375,True,20.0
ZA5,30.6,29.55,280.5425,False,25.0
